mrun,nomb_inst,nomb_sede,comuna_sede,nom_com_rbd
190879.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN ANTONIO
190879.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN ANTONIO
191376.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
191376.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VALPARAÍSO
199600.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,OVALLE
200362.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,VIÑA DEL MAR
225195.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,RANCAGUA
225195.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,RANCAGUA
226970.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN FELIPE
226970.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,SAN FELIPE
230047.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,LOS ANDES
230646.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILPUÉ
230646.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILPUÉ
234523.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
234986.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,EL TABO
234986.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,EL TABO
242630.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,LIMACHE
244164.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,CASABLANCA
245893.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
245893.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,QUILLOTA
251229.0,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CASA CENTRAL,VALPARAISO,OVALLE
